,embedding,label
0,"[-0.0167805497, -0.0395836979, 0.6138092279, -0.010480498900000001, -0.07564628870000001, -0.1894582659, 0.4876901209, -0.1003921479, 0.0293395519, 0.1982593685, 0.0040865177, -0.4836711884, 0.14240269360000002, -0.32955703140000003, 0.1456529647, 0.39455983040000003, -0.0021265317, -0.0393175185, 0.3524971008, -0.0655812919, 0.013999290800000001, -0.2550919652, -0.3780051768, -0.0646470264, 0.0138938129, -0.3127693534, 0.12716135380000002, -0.1925653666, 0.2315644175, -0.057315155900000005, -0.033200722200000005, 0.3010392189, 0.1602705121, 0.1045391485, -0.1344617307, 0.3047719896, -0.24509193, -0.1342418343, -0.0539275818, -0.09590374680000001, 0.16683533790000002, 0.013064995400000001, 0.44280740620000003, 0.0549836233, -0.19547191260000002, -0.0852633342, -0.263481468, -0.4550495148, 0.1022916287, -0.07612539830000001, -0.25300258400000003, 0.0034982786000000003, 0.14207899570000002, -0.2977372706, 0.5821253657000001, -0.0031699333000000003, -0.2246044278, -0.131445542, 0.0922007784, -0.1139926165, -0.1322705001, 0.0844038725, -0.3618021607, 0.0735915676, 0.5081295967, 0.0133498395, -0.005699070200000001, -0.009132646000000001, 0.10856562110000001, -0.0054951664, -0.0170826744, -0.1163953021, -0.009752865900000001, -0.1926104277, -0.1197829396, 0.1598454863, 0.42817178370000003, 0.0879369527, -0.21801561120000001, 0.0642604604, -0.2411829829, -0.18784406780000001, -0.22546279430000002, 0.0334275514, -0.0014981921, 0.0431082286, 0.3671694398, -0.0469801351, -0.2505059242, -0.30190640690000003, -0.0363261662, -0.0897646993, -0.035868234900000004, -0.0273258016, 0.3495222926, -0.1041862071, 0.2045788467, 0.07503286, 0.3524929285, -0.0519247204, -0.1063266098, 0.0622224435, 0.0798760876, 0.3635481894, 0.2735992074, 0.1446156204, 0.1774730831, 0.5123511553, 0.1749211401, -0.1214444041, -0.0834538266, 0.6980915666, 0.2894001603, 0.3003402352, 0.1730196625, 0.0029626768000000003, -0.1241501272, 0.10553494100000001, -0.0133233629, 0.2684510648, -0.059766642700000004, 0.060702294100000005, 0.140428558, -0.3666689396, -0.0837564692, -0.2671878934, 0.4039325118, -0.0362909734]",1
1,"[-0.12526972590000002, 0.10147688540000001, 0.20531836150000002, 0.1083270982, -0.12494186310000001, 0.056665383300000004, 0.5277553797, -0.3751783073, -0.2274211049, 0.3851017356, -0.2307059914, -0.2384144366, -0.1286428124, -0.38137084250000003, 0.1910990179, 0.5301192403, 0.0206725057, -0.1043342277, 0.2783288956, 0.0365757756, 0.2381371856, -0.36772099140000003, -0.4505807459, -0.00048336010000000004, 0.1917861402, -0.28105136750000004, 0.1886913925, -0.0219176225, 0.1816385686, -0.2272582054, -0.0354097411, 0.2117380649, 0.4014992714, -0.0020377077, -0.2503800988, 0.0594919249, -0.2313588262, -0.071307227, -0.025398206000000003, 0.0676380396, 0.23813927170000002, -0.2041128278, 0.6979101896000001, 0.0065731951, 0.1694399416, -0.0750989169, -0.24013274910000001, -0.8723630905, 0.1390515268, -0.0041130469, -0.122288458, -0.0438122004, -0.0565920882, 0.0672184601, 0.7152305245, -0.2512835264, -0.3181908429, -0.1920087785, -0.0228602402, 0.0093030222, -0.5365317464, -0.2250364423, -0.0547021776, -0.1711921841, 0.5142449141000001, -0.397316426, 0.1797326207, -0.1354713887, 0.176740855, 0.1186345741, 0.2426017821, -0.2741223276, 0.0842493176, -0.16817967590000002, -0.0557569377, 0.041260670900000004, 0.5163332224, 0.049006708, -0.420910418, 0.076957196, -0.35736697910000004, -0.2451705337, -0.2182414234, 0.1329899579, 0.0799803808, -0.08715637770000001, 0.3346653879, -0.4263263047, -0.019263275, -0.1858721823, 0.1729064435, -0.0708307028, -0.1605753154, 0.0246197116, 0.22133682670000002, 0.10689777140000001, -0.30150592330000003, -0.0452778265, 0.4524847567, -0.2297685146, -0.1184905618, -0.2812425196, 0.1579856426, 0.5482289791, 0.4381916225, 0.3247666061, -0.1970388144, 0.2006477714, 0.46185046430000004, -0.4725298584, -0.1407532394, 0.4712331295, 0.5283268094, 0.3353767991, 0.3594757617, 0.1500387639, -0.1908340454, -0.23344589770000002, 0.1339493096, 0.121733591, -0.0419693738, 0.2382734418, 0.0343144611, -0.429328382, -0.0540368035, -0.1697920114, 0.34101605420000003, -0.0811216906]",1
2,"[0.1312361956, 0.0294876788, 0.5027769804000001, 0.1776751429, -0.1777137518, -0.20911613110000002, 0.6378575563000001, -0.2904717624, -0.32759407160000004, 0.4508071542, -0.2535510063, -0.41957482700000004, -0.13099385800000002, -0.4961891174, 0.1907815039, 0.5385614038000001, 0.2109897882, 0.010334108, 0.2641402781, -0.16031286120000002, 0.0431975797, -0.2102204561, -0.3129652739, -0.08241711560000001, 0.0194664709, -0.4484328926, 0.1306905746, -0.030373642200000002, 0.2610468864, -0.0769496039, 0.009750500300000001, 0.21008494500000002, 0.33231869340000003, 0.1035732329, 0.1585455835, 0.1487971544, -0.3588195145, -0.1167060062, 0.18405054510000002, 0.1424470395, 0.2362200767, 0.048907876, 0.6639444232, -0.0052612461, 0.0243959129, 0.0306556839, -0.1319834739, -0.5913082361, -0.0658484474, -0.0338507891, -0.0044126147, 0.107913591, -0.24022111300000001, -0.1997980624, 0.7103590369, -0.1161875203, -0.2517717481, -0.1437462866, 0.0410960764, -0.1114026308, -0.38568776850000003, -0.11364394430000001, -0.2956918478, 0.1369604319, 0.6561320424, -0.1474979073, 0.2266536653, 0.076870203, 0.1435710788, -0.0140888412, -0.053882096000000004, -0.083781004, 0.0271721184, -0.16781982780000002, -0.09984142330000001, 0.0045712935, 0.3011468053, -0.0192265064, -0.4167996049, 0.240574643, -0.1504067183, -0.2686856389, -0.2781789899, 0.0591493212, 0.0909404904, 0.0833825767, 0.1930352002, -0.0458928533, -0.3081881702, -0.0837915987, 0.0854205564, -0.2221227586, -0.1680886596, -0.0816424266, 0.3499985337, 0.0377263501, -0.0079604462, -0.2754645348, 0.5670465231, -0.13670234380000001, -0.1706074923, 0.0153881311, 0.0884281546, 0.3108167946, 0.4680276513, 0.0774842873, 0.1908677816, 0.2710374594, 0.3685887456, -0.47009202840000003, 0.065323092, 0.4533119202, 0.38175788520000004, 0.7399117351000001, 0.35743001100000005, 0.037282418500000004, -0.1071794182, -0.0491754599, -0.1743703485, 0.2662798762, -0.1615539342, 0.1088403612, 0.270594269, -0.4788892269, 0.23436631260000002, -0.0454138257, 0.6632038355000001, -0.1695572585]",1
3,"[0.1387384981, 0.0460377187, 0.574083209, 0.1364336163, -0.0127123818, -0.1212519631, 0.6075744629000001, -0.3157876432, -0.1308357269, 0.3956480026, -0.004504784, -0.4728987217, -0.038080804, -0.37886875870000003, 0.3307671249, 0.4636354744, 0.09802919630000001, 0.0053252531, 0.3910005093, 0.060340531200000005, 0.3289535642, -0.3729289472, -0.1077569872, -0.1268851906, 0.0186829045, -0.1705493927, -0.10688628260000001, 0.0070197498, 0.4503746629, 0.029556471900000002, -0.0956329256, 0.5230399370000001, 0.2676751912, 0.15890678760000002, 0.22810274360000002, -0.0869030878, -0.27864032980000003, -0.1987679601, 0.1153458208, 0.0656165928, 0.0859965533, -0.14226096870000002, 0.5348296165, -0.0005252976, -0.2124487609, -0.1963927299, -0.1704813838, -0.5585022569, 0.0866671279, -0.11290967460000001, 0.0039474936, 0.1590228826, -0.20884509380000002, -0.1072716415, 0.6826145053, -0.08433270450000001, -0.2533994913, -0.10879343, -0.1023143455, -0.253110528, -0.42909476160000004, 0.076958254, -0.4407295585, 0.1830562651, 0.6521890163, -0.2788594365, 0.1716741025, -0.0671456158, 0.1541783214, -0.2440226376, -0.12054936590000001, -0.1459904909, -0.0708519816, -0.1144943684, -0.0216007978, -0.0173879173, 0.2058783323, 0.1456120014, -0.1703896224, -0.0188428462, -0.0897432417, -0.1426005363, -0.2487488091, 0.2746811807, 0.0380285494, 0.0608535819, 0.3313835859, 0.0659220666, -0.2401492596, -0.1268870384, 0.37084257600000003, -0.3703498244, 0.0426741876, -0.0267425235, 0.2889724672, -0.032594703100000004, -0.12411209940000001, 0.0134151038, 0.5419121385, 0.1115604863, -0.3498644829, -0.0291597694, 0.12781447170000002, 0.090286091, 0.4060384929, -0.0033069141000000002, 0.2331108004, 0.0480152816, 0.2980856597, -0.19278600810000002, -0.1351835132, 0.5035715699000001, 0.3569294512, 0.6911911964, 0.2906243503, 0.0752644464, -0.1591740251, -0.20542471110000002, 0.0424491949, 0.0891936272, -0.07024329160000001, 0.036672234500000005, 0.0948796868, -0.3160268068, 0.10642234980000001, -0.1437513828, 0.578751564, 0.02255469]",0
4,"[0.1606466323, -0.1768193543, 0.6745604277, 0.024863213300000003, 0.0844231397, 0.0784057751, 0.3543179333, -0.2068129331, 0.0981470123, 0.4926643372, -0.13285610080000002, -0.22809296850000002, 0.1704542488, -0.3849398196, 0.2385070175, 0.3672508001, 0.0006427355, 0.1076803878, 0.2513814569, -0.23354506490000002, -0.0147503093, -0.1279633939, -0.38011029360000004, -0.10649053010000001, 0.2321186811, -0.3498994112, 0.1922947466, 0.0684202015, 0.2064972967, -0.1517386585, 0.0815349072, 0.2129655033, 0.3406684399, 0.015530129, -0.071886763, 0.33606421950000004, -0.1540765613, 0.0117022917, -0.08751483260000001, -0.1367940307, 0.0372434668, -0.086933881, 0.3879519105, -0.29425400500000004, -0.0062127467000000006, -0.0880767554, -0.14798265700000002, -0.4362581968, 0.1195845231, 0.30807676910000004, -0.1851269901, 0.0171536319, 0.2130542397, -0.0681054592, 0.5747099519000001, -0.1415434182, -0.24758888780000002, -0.1300996691, -0.0774213597, 0.026037309300000002, -0.1331320554, 0.1013884619, -0.1495127678, -0.1030691713, 0.4141050875, -0.0586102977, -0.10898068550000001, 0.10214675220000001, 0.2418089509, -0.061314344400000005, -0.023835592000000003, -0.1111794114, 0.15171501040000002, -0.1067626774, -0.0525951385, 0.0786200017, 0.19612194600000002, -0.012517624500000001, -0.1252322495, -0.0474193394, -0.2690577805, -0.4762937725, -0.1447907388, -0.04962283, 0.050468877, -0.179058522, 0.028454022500000002, -0.2166970074, 0.0308129862, -0.1214357018, -0.0103335679, -0.22635485230000002, -0.2376769334, -0.038865089400000004, -0.0152518181, -0.0780401155, 0.1638206691, -0.21879665550000002, 0.24424891170000002, -0.2594991922, 0.031137138600000003, 0.2794229388, 0.3149698973, 0.2723080218, 0.49566349390000003, 0.3043597341, 0.2424396724, 0.30494761470000004, 0.27276402710000003, -0.0784369409, -0.0028209034, 0.45446887610000003, 0.06265141810000001, 0.2606126964, 0.09639567880000001, -0.036637194500000005, -0.1519733965, 0.280246973, 0.11705878380000001, 0.2400290072, -0.133229062, 0.1189936996, 0.1365932822, -0.37395820020000003, -0.08849385380000001, -0.0308659039, 0.2321014553, 0.12311183660000001]",1
5,"[0.0058481544000000005, -0.1326265633, 0.6104857922, -0.0016301405000000001, -0.079154186, 0.0202960186, 0.5547779799, -0.2208981365, -0.0908281803, 0.43929052350000003, -0.2927095294, -0.22918586430000001, 0.0911500677, -0.5864162445000001, 0.1749438643, 0.5169944763000001, 0.026042841400000002, 0.0940206945, 0.2625318766, -0.1733238399, 0.1931999624, -0.30243080850000004, -0.16547437010000002, -0.2038118243, 0.049668878300000004, -0.4482591152, 0.0501397736, -0.3154944181, 0.3127922416, -0.14357852940000002, -0.0396048799, 0.359094888, 0.1477787048, 0.006072217600000001, 0.1025213152, 0.11200910060000001, -0.0705795884, -0.1455712318, 0.1026646569, 0.2182639986, -0.0172719657, -0.22918391230000001, 0.6545587182, -0.1538153291, 0.1397692114, -0.4236107469, -0.4186883867, -0.6872078776, 0.059107225400000005, 0.026530403600000002, -0.2949900627, 0.09605624530000001, -0.0018949704, -0.1856673807, 0.5051233172, -0.22936019300000002, -0.0836937204, -0.3445067704, 0.0406055301, -0.1860320866, -0.49122196440000004, -0.0690107048, -0.3174895048, 0.1188372374, 0.8146901131000001, -0.2154287994, 0.18236719070000001, -0.0722626299, 0.1406987756, -0.3149615228, 0.0796698034, -0.4036749005, -0.16785267, -0.0851178318, -0.08611339330000001, -0.15141204, 0.3519819677, -0.1409154683, 0.000953719, 0.1110343039, -0.2198998928, -0.3174102902, -0.30060887340000003, 0.20547527070000002, 0.1642992646, -0.0644330233, 0.2723835707, -0.0913740322, -0.2786875963, 0.0341217741, 0.0213986337, -0.2880731821, 0.0471926555, -0.0637244284, 0.16410188380000001, 0.0082301684, -0.016118023500000002, -0.2212786824, 0.5245184302, -0.036848329, -0.2104347944, 0.0359072872, 0.2771793604, 0.6116074920000001, 0.4233542383, 0.1257237941, 0.2015287131, 0.1870948225, 0.053376089800000005, -0.248981908, 0.08837934580000001, 0.6204437613, 0.4063206017, 0.5888858438, 0.29108548160000003, 0.0554933399, -0.1386661381, -0.0571123138, -0.1538356692, 0.2349927574, -0.1225645617, 0.018435679400000002, 0.047811172900000004, -0.3767132163, -0.0052825175, -0.10311448570000001, 0.3538325727, -0.0870392099]",1
6,"[0.1397939026, -0.021955709900000002, 0.3787538111, 0.1447328478, -0.024676034200000002, -0.0742695183, 0.1870630383, -0.2710936069, -0.1977804899, 0.1426359415, -0.0647785962, -0.295814544, 0.0002542734, -0.47307708860000003, 0.0737867728, 0.2326010764, 0.1274623275, 0.12848022580000001, 0.1775898635, -0.0748374313, -0.08371256290000001, -0.1021908596, -0.1313512623, -0.1466829181, -0.1114486977, -0.1809031516, 0.058517411400000004, -0.19411820170000002, 0.2200197577, -0.0070194569, -0.1533388644, 0.25881403680000004, 0.1909506023, 0.24107778070000002, -0.0767368376, 0.0041069277000000005, -0.4594415128, -0.1120318919, -0.1124046296, -0.008568272, 0.0823265091, -0.17983263730000001, 0.19462743400000002, 0.0072584916, -0.11298592390000001, -0.1323661655, -0.08304435760000001, -0.4802237153, -0.1308439672, -0.0514007248, -0.20435355600000002, 0.1379582882, -0.23203364010000002, -0.2613030076, 0.4973687828, -0.1006521434, -0.0268568806, -0.1047766209, 0.1961154938, -0.1361807883, -0.058310274, 0.0793772489, -0.2328558862, 0.1320025921, 0.4768585265, 0.052471749500000005, 0.19910736380000002, 0.1261903048, 0.1672246456, -0.0293862894, 0.009773084900000001, -0.1557230651, 0.0736643299, 0.0017244983, 0.0501268916, 0.0089319572, 0.24976480010000002, 0.0841367841, -0.1184864193, 0.0927394703, -0.15637651090000002, -0.1324588209, -0.4126719534, 0.1029163897, 0.20427750050000001, 0.0428811125, 0.2928594351, -0.029986644200000002, -0.26472863550000003, -0.037184696600000004, 0.17820328470000002, -0.1673434526, 0.041022889300000004, -0.1033295244, 0.0579044893, 0.0690685883, -0.0111035034, -0.034464761600000005, 0.17934438590000001, -0.038345504600000004, -0.2040600479, 0.0394562259, 0.0068095261, 0.2209430635, 0.3339157104, 0.1126242206, 0.11521527170000001, 0.3917550147, 0.17431990800000002, 0.0342083871, 0.1010332182, 0.1261496246, 0.4213232398, 0.45495745540000004, 0.33630955220000003, -0.1391318738, 0.049897193900000004, 0.1395721138, -0.1402689219, 0.21813443300000002, -0.0561740212, 0.0229432452, 0.2216171026, -0.3294745684, -0.1545401961, 0.0188808367, 0.3106983304, 0.0075564180000000005]",0
7,"[0.0405324325, 0.0174655784, 0.6153500676, -0.0224484839, -0.0527255237, -0.099683933, 0.4567494392, -0.23797698320000002, -0.0494420007, 0.3138152957, 0.099115558, -0.33437952400000004, 0.1187168583, -0.4307006598, 0.24909122290000002, 0.4854426086, 0.0957867876, -0.1539797485, 0.2397387028, 0.00015761520000000002, 0.2800655663, -0.3985567987, -0.19314825530000002, -0.0961232483, 0.07852998380000001, -0.0260157399, 0.11990012970000001, 0.0055794753, 0.0898380429, -0.1100897864, 0.1169393808, 0.3702406883, 0.3300980926, -0.040244504800000004, 0.1124126762, 0.1428778172, -0.33322474360000004, -0.0482835993, 0.16771917050000001, -0.0694622621, 0.14536748830000001, -0.2027430534, 0.43215876820000004, 0.0658972934, -0.0301089156, -0.0217194762, -0.22941291330000002, -0.5103734732, 0.0104952278, -0.1337711811, -0.08917872610000001, 0.1093500927, -0.0835844055, -0.2865104973, 0.6040418744, -0.1013084576, -0.39633309840000003, -0.2704727948, -0.0838767812, -0.275865376, -0.3969195783, -0.053223080900000004, -0.34187069540000004, 0.059764333100000004, 0.5480028987000001, -0.22401317950000002, 0.1707348675, -0.1055438593, 0.0963576138, -0.0890905559, -0.062407478700000005, -0.1081265807, 0.0074189212, -0.1043246686, 0.007469378400000001, -0.0306664929, 0.2496589422, 0.2476300001, -0.2892512083, 0.063174203, -0.1602281928, -0.1816029549, -0.3284066617, 0.1986892372, -0.0838773027, 0.0002322793, 0.3981602192, -0.19731213150000002, -0.34725078940000004, -0.0420960933, 0.17554290590000002, -0.391849339, -0.0019675847, -0.1092806607, 0.3133322597, -0.0298291668, -0.055762022700000004, -0.06334340570000001, 0.2768154442, -0.015477098500000001, -0.1074825004, -0.0706446171, 0.003249431, 0.19841058550000001, 0.498167187, 0.049555894, 0.17606641350000002, 0.155847922, 0.33117949960000004, -0.32940933110000004, -0.0861356333, 0.38564437630000004, 0.4048391879, 0.6848818064000001, 0.3553969562, 0.07014159860000001, -0.012545809100000001, -0.0839932412, -0.0823442712, 0.1366154999, -0.0048959116, 0.0445912555, 0.2022127062, -0.2545987964, 0.1993260533, -0.103656143, 0.6516937017000001, 0.0347330198]",0
8,"[0.039149038500000004, -0.0511390641, 0.6756767631, -0.0698304325, -0.0356691591, -0.0113153495, 0.5867523551, -0.1931374073, -0.0665405765, 0.343665123, -0.1697413027, -0.48795813320000003, -0.1235638559, -0.5866569877000001, 0.2630308867, 0.6959264278, -0.121173948, -0.0523992479, 0.3963514268, -0.1826164126, 0.30059131980000003, -0.6565793157, -0.3511551023, 0.024676824, 0.2864122391, 0.0141617693, 0.1662206352, -0.006421119, 0.07951118800000001, -0.2338855565, -0.090542838, 0.4769852161, 0.28641438480000003, 0.0093259597, 0.2775763869, 0.1323891878, -0.1151121855, -0.2029316723, -0.0043406151, 0.055043641500000004, 0.22150181230000002, -0.1140558347, 0.6983801126, 0.019989315400000002, -0.1094096601, -0.0807899833, -0.3951086998, -0.4624135196, 0.06417560580000001, -0.0384653658, -0.199191317, -0.0501077399, 0.1942031384, -0.26400265100000003, 0.6051774621, -0.1743636429, -0.3639946878, -0.2391496599, -0.2452093214, -0.2712065876, -0.36448889970000004, -0.11347328870000001, -0.33792954680000004, 0.0279399566, 0.5734227896, -0.137378037, -0.0403181463, -0.0469842404, 0.17201890050000002, -0.21729087830000002, -0.07425625620000001, 0.0922883153, 0.2305014431, 0.0020925105000000003, 0.0165329762, 0.1330050677, 0.3362875581, 0.11228303610000001, -0.134817645, -0.08969278630000001, -0.0253770892, -0.3643600643, -0.11760624500000001, 0.057612769300000005, 0.0207114629, 0.0635613278, 0.3317410052, -0.0636033416, -0.2065080106, -0.22566473480000002, 0.22174914180000002, -0.203142345, -0.12380415950000001, -0.1496603936, 0.4918420613, -0.0651204363, -0.1161399558, -0.0801235288, 0.6488385797, -0.0979278833, -0.0284209009, -0.0567285717, 0.0484212674, 0.4002122879, 0.5755809546, -0.047469392400000004, -0.019972771400000002, 0.1208879352, 0.3711411953, -0.284715265, -0.0818408728, 0.7913861871000001, 0.3209907413, 0.4542142451, 0.1418590844, 0.060366109, -0.2418333292, 0.0311955959, 0.0907184854, 0.2838516235, -0.0787019506, 0.0658110082, 0.29743838310000004, -0.5089444518, 0.10835775730000001, -0.12047681210000001, 0.7358384132, -0.1559402347]",1
9,"[-0.1012975574, 0.12617483740000002, 0.543918848, 0.1673800498, 0.1110675409, 0.07478237900000001, 0.4450282753, -0.2990705073, -0.3550078273, 0.3357429802, -0.4546837211, -0.1982097924, -0.0522041023, -0.4347541928, 0.1529938579, 0.5681232214, -0.058224905300000004, 0.013960409, 0.1322044432, 0.0049576052, 0.23544894160000002, -0.28808456660000004, -0.2238425761, 0.08479502800000001, 0.0827998966, -0.5536985993, 0.3647987247, -0.0452866852, 0.054669398800000005, -0.2995121181, 0.07012309130000001, 0.0274208523, 0.24154609440000002, 0.0836732313, -0.104452081, 0.0856368616, -0.2466195673, -0.10238473120000001, 0.1491466016, 0.1899596453, 0.1577813625, 0.0467928462, 0.5016314983, -0.1357569098, 0.1525393277, -0.15087032320000002, -0.31830134990000003, -0.6318379641, 0.1979518533, 0.101797998, -0.19580590720000002, 0.10627209400000001, -0.054104689500000004, -0.13847696780000002, 0.4015390575, -0.0774123892, -0.335557282, -0.25144582990000003, -0.14622156320000002, -0.2039334476, -0.47635746, -0.222902, -0.0175577551, -0.0328522064, 0.4443396926, 0.1253867447, 0.1135294139, 0.0076586017, 0.2493334413, 0.0043180324, 0.09409604220000001, 0.007643178600000001, 0.2234187424, -0.0947564989, -0.014700312200000001, 0.0360569246, 0.3800574243, 0.034848135, -0.15430954100000002, -0.037766940900000004, -0.1035417691, -0.31853961940000003, -0.1453233361, 0.0846339837, 0.0194146559, 0.0565138236, 0.4460204244, -0.16797383130000001, -0.1192776561, -0.1183361411, 0.2571013868, -0.26993736620000003, -0.1967106313, 0.0490937643, 0.2778228819, -0.0911585391, -0.0137452539, -0.1095458567, 0.6284930706, -0.0407991372, -0.0493268445, -0.0536815226, 0.3287146688, 0.4369565248, 0.4366784394, 0.07947093250000001, -0.0824147388, 0.2050412446, 0.3339333534, -0.2728582621, 0.056962728500000004, 0.45928442480000004, 0.4726281464, 0.6833465099, 0.2602778375, 0.24297545850000002, -0.2437258363, -0.1533038914, 0.09358306970000001, 0.2436670065, -0.0686984062, 0.0356181785, 0.2001900077, -0.38395240900000005, 0.1983775198, 0.048214688900000004, 0.413303107, -0.1778529435]",1
