,embedding
0,"[-0.09757755700000001, -0.1536363065, 0.36609840390000004, 0.19031372670000002, -0.2149754912, -0.0550495461, 0.6882817149, -0.3455514908, -0.2849751115, 0.1851637065, -0.1215604544, -0.2985274792, 0.0117146317, -0.6387062073, 0.2228847593, 0.3450251818, 0.1371561885, 0.0279035717, 0.24684280160000002, -0.0123683568, 0.2410650253, -0.2010556608, -0.3199437261, 0.0050412794, 0.16906191410000002, -0.28838428850000003, 0.2698318362, -0.0408871248, 0.2204179466, -0.1429182738, -0.049027290200000004, 0.1681863666, 0.029579501600000002, 0.20919939880000002, -0.28673294190000004, 0.1050974503, -0.1308974326, -0.1433171332, -0.0598955117, -0.0349589139, 0.1748289317, -0.1890574843, 0.6529750824, -0.022209934900000002, 0.0800734535, -0.38196003440000004, -0.2963285148, -0.6000111699, 0.0764269456, -0.032061629, -0.3215515912, 0.0688213035, 0.0686093569, -0.2494391948, 0.7288613319, -0.21049073340000002, -0.1324234158, -0.48836869, 0.092772238, -0.3526796997, -0.3605137467, -0.0313212052, -0.4861795306, -6.0130800000000004e-05, 0.7836261392, -0.0685153008, 0.1939100027, 0.1909949481, 0.3615947962, -0.2780246735, -0.0617966652, -0.1448875964, 0.0397031344, -0.0721876696, -0.0415684879, -0.2785458565, 0.31204539540000004, 0.0167337246, -0.12927988170000002, 0.015300780500000001, -0.06954664740000001, -0.3675665557, -0.38181275130000003, 0.3787055016, 0.22772091630000002, 0.1114160195, 0.4335535169, -0.0774561614, -0.2115309685, 0.0451545157, 0.212149471, -0.2892908752, -0.0661956668, 0.0186680481, 0.26667270060000003, 0.0802192092, -0.0086105242, 0.016517151100000002, 0.4309089184, 0.0465199091, -0.1346656829, -0.06332979350000001, 0.0085718194, 0.3300344348, 0.2119705379, 0.0594916567, 0.0495632887, 0.1869096309, 0.5391702652, -0.36112615470000003, -0.1160731167, 0.4814907312, 0.4073665738, 0.5447217226000001, 0.4715193212, -0.0507109724, -0.0289799552, -0.08546511080000001, -0.0256731398, 0.334594965, -0.15708383920000002, -0.1297741085, -0.0141785834, -0.6633082032000001, 0.10552842920000001, -0.1504711211, 0.4050745368, -0.0822224319]"
1,"[-0.00033669360000000004, 0.08777780830000001, 0.5508777499, -0.0121248625, -0.27609187360000004, -0.10984168200000001, 0.6273813844, -0.3204960227, -0.2301521003, 0.20965376500000002, -0.045432422300000004, -0.5622706413, 0.09632540490000001, -0.5311861038, 0.4088967443, 0.6622481942, -0.0632096156, 0.0454115979, 0.0905929953, 0.2454825938, 0.30847427250000004, -0.43722259999999996, -0.1629618555, -0.0024342686, -0.0524778664, -0.1490853727, 0.2347673029, -0.025981823, 0.10278408230000001, -0.1720698327, 0.0281654187, 0.1543779075, 0.3617806733, 0.1534023136, 0.07482443750000001, 0.1918134987, -0.1751321852, -0.2544548213, -0.13059988620000001, -0.0874077305, 0.0955768451, -0.0747077838, 0.7176451087, 0.013561502100000001, -0.0761327296, -0.0143899079, -0.3789443374, -0.3733075857, 0.2181028277, -0.0803837255, -0.2197569162, 0.1033982188, 0.1512424499, -0.3303926587, 0.5591171384, -0.031125268, -0.3242591023, -0.1093218029, -0.0406171605, -0.34129172560000004, -0.4272906184, 0.0630572438, -0.42049822210000004, 0.09597441550000001, 0.5615956783, -0.1929149479, 0.0854216069, -0.068753995, 0.0543909594, -0.2099595517, -0.0769669563, -0.0114010759, 0.14003151660000002, -0.021087195700000002, 0.10654179750000001, 0.0325270742, 0.1042394266, 0.28309398890000004, -0.1988101304, -0.1220888123, -0.148572132, -0.2851445973, -0.194956705, -0.10646642740000001, -0.0246170349, 0.0430070236, 0.4812518358, -0.043337699, -0.18967776, -0.1741604954, 0.2717429101, -0.0643275306, -0.0556336567, -0.06984334440000001, 0.44558274750000004, 0.1977771074, -0.21135315300000002, -0.0311446823, 0.5074364543000001, -0.0484154969, 0.0003354996, -0.16497671600000002, 0.2545588017, 0.4161750078, 0.2904663384, -0.0215192288, -0.0009208657, 0.17748455700000002, 0.4911839664, -0.27801036830000003, 0.0790254623, 0.5086026192, 0.3528910279, 0.7094871998000001, 0.2663715184, 0.0372582078, -0.1641893536, -0.049642533100000004, -0.1359986812, 0.2759824395, -0.037390098000000004, 0.1924273074, 0.1663662642, -0.6100293994, 0.3065847754, 0.090976052, 0.7864294648, -0.11561867590000001]"
2,"[-0.275570631, -0.32913637160000003, 0.41095116730000003, 0.013807129100000001, 0.051878146800000004, -0.11155743900000001, 0.6068556905, -0.1649683714, -0.1512474865, 0.2273354232, -0.2758318186, -0.3102619648, 0.030805276700000002, -0.6350318789, 0.1446540058, 0.5510433316000001, 0.1506508142, 0.1791163683, 0.15497079490000001, -0.1770259589, 0.3113850355, -0.15295858680000002, -0.31342378260000003, -0.0530072227, 0.0311407931, -0.4486656189, 0.1486515552, 0.0638560355, 0.2506580353, -0.23701274390000002, 0.1005330682, 0.35177892450000003, 0.2784307003, -0.0438036658, -0.052171811500000005, 0.30634951590000004, -0.1743428111, -0.0714909881, 0.0111974329, 0.0090615023, 0.12530824540000002, 0.028837705, 0.5946339369, -0.0660892278, 0.2039707154, -0.3290713131, -0.4940856993, -0.6427289248, 0.0290210061, 0.0886091143, -0.2282734811, 0.0685053617, -0.134957388, -0.2739584446, 0.6124278307000001, -0.17868599300000002, -0.2550944686, -0.403298378, 0.0358732715, -0.2915715575, -0.3384323716, -0.12850724160000002, -0.1840697229, -0.057254172900000004, 0.8035748601, -0.198556155, 0.1957964748, -0.0917040855, 0.3441904783, -0.1941780746, 0.1636208892, -0.3348452449, -0.1155437678, -0.0948801115, 0.055717922700000005, -0.07511320710000001, 0.2997649014, -0.2199010104, -0.2650621831, 0.1522223651, -0.1041456535, -0.33671578760000004, -0.0786881223, 0.2836390734, 0.030630894000000002, -0.1578333825, 0.142610088, -0.273852706, -0.1333182156, -0.1842847168, 0.17964468900000002, -0.1535768509, 0.052862960800000004, 0.0936916992, 0.23492480810000002, 0.1298200339, 0.1389420778, -0.2759333551, 0.611587286, 0.1544424593, -0.0439197049, -0.0007578637, 0.3940189183, 0.440574646, 0.4503035843, 0.180709362, 0.0196368061, 0.22631947700000002, 0.309327513, -0.34077319500000003, -0.012207563000000001, 0.6136720777, 0.2636950612, 0.694930315, 0.4019832313, -0.041015964, -0.20209641750000001, -0.20256987210000002, -0.014491532000000001, 0.2234532237, -0.1217444688, -0.1544956267, 0.15442883970000001, -0.3929338455, -0.0540399514, -0.2137320489, 0.3666169643, 0.026651185]"
3,"[0.1461943835, -0.2785910368, 0.49100896720000003, 0.1653855294, 0.10584489999999999, 0.2872254252, 0.4139600396, -0.048126902400000005, -0.1093431562, 0.18587073680000002, -0.3257931471, -0.5052310228, 0.0822606981, -0.18722274900000002, 0.1977186948, 0.5887476802, -0.0153818866, 0.0678617507, 0.2859649658, -0.19540354610000002, 0.1442524493, -0.18500147760000002, -0.1316730082, -0.15710783, -0.0322090536, -0.1704010963, 0.081897594, -0.0526855886, 0.0948598087, -0.0436926261, 0.3180863559, 0.2624002695, 0.24464008210000002, 0.1083261147, -0.1668323576, 0.2533924878, -0.21185259520000002, -0.0048840321, -0.0195651669, -0.10607162860000001, 0.1010036021, -0.2322179228, 0.1781074107, -0.110526599, -0.0183246974, -0.1345298439, -0.307475239, -0.35241639610000003, -0.0774636716, 0.0864222348, -0.3229268789, -0.07939378920000001, 0.23102636640000002, -0.09944882990000001, 0.5312970281, -0.09626790880000001, -0.1581811756, -0.1325522512, -0.0082515832, -0.0314146988, -0.1601340473, -0.12432770430000001, -0.1447311044, -0.1375293285, 0.5109857917, -0.1941483766, 0.15728829800000002, 0.0351894461, 0.14084830880000002, 0.0384890512, -0.023969061700000002, -0.3035762012, 0.0502603874, -0.1975121796, 0.0968382955, 0.0061543854, 0.21617330610000002, -0.07974122460000001, -0.1571917683, -0.1052515209, -0.3326359689, -0.1208438799, -0.0675949156, -0.0405924842, 0.1069835573, -0.1396391541, 0.1448885351, -0.24192379420000001, -0.0248916894, -0.2007323503, -0.0447135717, -0.216035679, -0.0311086439, -0.2143889368, 0.145531401, -0.0739314407, 0.052974686, -0.0180105492, 0.3812921047, -0.2705945373, 0.0172896311, 0.1738352031, 0.0472077876, 0.42641168830000004, 0.3953468204, 0.1401464641, 0.1813651919, 0.1770655364, 0.22576318680000002, -0.10633540150000001, -0.0636311173, 0.4258613586, 0.22627416250000001, 0.4216377437, -0.12170472, 0.031512606900000004, -0.038314554800000004, 0.2149170488, 0.1348542571, 0.1483579874, -0.0943687856, 0.3290323317, 0.11619929970000001, -0.2701615691, -0.1115146726, -0.2547902465, 0.40167361500000004, -0.0656075403]"
4,"[0.1696606129, 0.354041934, 0.6204992533, 0.2608371675, -0.3124001622, 0.0759309381, 0.6373318434, -0.1880226582, -0.2106253803, 0.3375804126, -0.3154186308, -0.5602682233, 0.1068036333, -0.6037352681, 0.1756128967, 0.5737784505, 0.0311775953, -0.22389897700000003, 0.28342062230000004, -0.1480011195, 0.0947515517, -0.3949536681, -0.114549458, -0.09561726450000001, 0.0510565117, -0.3688824177, 0.3002191484, -0.2112734914, 0.14738264680000002, 0.0425641835, -0.2408905029, 0.256185323, 0.1885136664, 0.2482744157, -0.054793417500000004, 0.0956778377, -0.46190449600000005, -0.26408287880000003, 0.0942870677, 0.0272466876, 0.16057926420000002, -0.13620382550000001, 0.7010552287, -0.0698410198, 0.0651968569, -0.3364135623, -0.06976109, -0.569756031, -0.0017659292000000001, -0.0186418016, -0.24494978790000002, 0.08430214230000001, -0.2407628745, -0.1857924461, 0.6604472399, -0.0096963048, -0.29265412690000003, -0.29298096900000004, -0.0719299912, -0.41931632160000004, -0.5510598421, -0.1188285053, -0.5608835816000001, 0.0390102491, 0.7600390315000001, -0.0603087582, 0.26140922310000003, 0.0229486674, 0.3279082477, -0.018032128, -0.1194460467, -0.1263158172, 0.0535495356, -0.0490374081, -0.11856018010000001, -0.051391966600000005, 0.4018606544, -0.0030760206000000003, 0.009732835, 0.2409082353, -0.1808388233, -0.42043632270000003, -0.3871916234, 0.1605313867, -0.0105124805, 0.1804423332, 0.44648581740000004, 0.014038018900000001, -0.22270126640000001, 0.018022649, 0.3353276253, -0.3246112466, 0.1312679499, -0.0359729566, 0.2512545586, 0.1668386459, -0.0986612514, 0.0075693745, 0.3916070759, 0.1997631788, -0.3330061436, 0.1106420308, -0.0521399304, 0.2312886864, 0.3551112115, 0.0443019941, 0.268155843, 0.24260893460000002, 0.2871744931, -0.5709733963, 0.0709380731, 0.5203770399000001, 0.5404126048, 0.6095212102, 0.4325330853, 0.052439775300000005, -0.130201444, -0.1510198265, -0.2714500427, 0.11575835200000001, -0.07291051, -0.1822592616, 0.24712821840000002, -0.6048439145, 0.27261760830000004, -0.0199604817, 0.5719934702, -0.12253433470000001]"
5,"[-0.0006253477, 0.2239072025, 0.5836398005, 0.0760302171, -0.1159660965, 0.0221266486, 0.7309989333, -0.3152937293, -0.2150283009, 0.43544560670000004, -0.2124600261, -0.2858009338, 0.0561332926, -0.4781146646, 0.1428513229, 0.4592936635, 0.0775494874, -0.1525355279, 0.0647443682, 0.1367889643, 0.31766614320000003, -0.27298685910000003, -0.17148073020000001, 0.18353676800000002, -0.0894169435, -0.1787243038, 0.2070208937, 0.06844568250000001, 0.012851296000000002, -0.2484870851, -0.2439648211, 0.4227395654, 0.16416504980000002, 0.2290352732, -0.1199204326, 0.059242148, -0.4328036308, -0.1714889258, 0.083873719, -0.1312634349, 0.1818410009, -0.11730660500000001, 0.6523609757000001, 0.0923171788, 0.1657282263, -0.10831251, -0.2084198892, -0.5067020059, 0.1296660304, -0.2665942609, -0.2402519733, 0.1374935359, -0.2501909435, -0.29824557900000004, 0.6288144588, -0.24435572330000002, -0.2198244631, -0.2513698041, 0.043713666500000005, -0.1552885473, -0.5400556922, -0.1890931576, -0.3898331821, 0.14068588610000002, 0.6983596683000001, -0.15031629800000001, 0.2131910622, 0.0572905913, 0.2802269161, 0.0681168139, 0.17738150060000002, -0.0945899338, 0.1304740012, -0.0390796401, 0.028078645500000003, 0.24060383440000002, 0.345217675, 0.0784506202, -0.3877851963, 0.32179614900000003, -0.2263842821, -0.2334802896, -0.058307312400000005, -0.014805452, -0.1951702833, 0.4062205553, 0.3645086884, -0.24253192540000001, -0.1738146693, -0.0947016478, 0.37743607160000003, -0.10979615150000001, 0.0408378989, -0.0928316265, 0.2475297898, 0.3521952927, -0.1803642064, -0.0509092063, 0.3150968552, -0.0773818567, -0.34276738760000003, -0.0370581672, 0.0825132579, 0.29051718120000003, 0.3415358365, 0.0052831518, 0.0809435695, 0.18488036100000002, 0.3258170784, -0.3898843229, 0.0007324293, 0.5019615293, 0.40567368270000004, 0.5051412582, 0.2114369869, 0.0915883854, -0.1469008923, -0.08171308790000001, -0.1919153929, 0.2762117982, 0.06365254520000001, 0.06875409190000001, 0.07024224100000001, -0.4857928157, 0.1145900339, -0.18294493850000002, 0.6084432602000001, -0.0694232211]"
6,"[-0.026462625700000002, 0.0731885433, 0.2189005911, 0.29488700630000003, -0.19600886110000001, -0.1357771009, 0.4911836088, -0.34189420940000004, -0.24011352660000002, 0.3699161708, -0.11523170020000001, -0.3226962984, -0.07371904700000001, -0.5598238707000001, 0.20934590700000003, 0.4993804693, -0.0130442232, 0.039848607, 0.185137555, -0.2355660498, 0.1800908148, -0.1572438031, -0.30492347480000004, -0.1222735122, -0.0347749442, -0.24724009630000002, 0.1297887713, -0.2352215946, 0.33109664920000004, -0.1125821322, -0.1332347989, 0.37058809400000003, 0.2427874207, 0.2271728516, -0.10033831, 0.0899134874, -0.3707445562, -0.1540734768, -0.0009757495, 0.12645757200000002, 0.20709659160000002, 0.0491142683, 0.6904014945, 0.0570392646, 0.12482097, -0.4025649726, -0.1734080613, -0.5311365724, 0.1532183588, -0.10620658840000001, -0.23273344340000002, 0.0491540693, 0.0709111914, -0.4451423585, 0.6742674112, -0.1586907953, -0.2251756936, -0.28110885620000003, 0.0540805012, -0.27025479080000003, -0.6048889756, -0.1653360277, -0.2624551654, 0.054690107700000004, 0.7027065754, -0.0535954908, 0.1780328155, -0.019242009100000002, 0.2360063642, -0.14437446, 0.0818245709, -0.256036818, 0.0256071892, 0.1662876904, 0.08302059020000001, 0.169664368, 0.4514551759, 0.1039302945, -0.06694823500000001, 0.386449188, -0.0787556097, -0.2936181128, -0.3338630795, 0.0478033796, 0.12046433990000001, 0.3076672554, 0.4343647659, -0.0688661188, -0.2367897034, -0.30184042450000004, 0.3313820958, -0.2383655906, 0.06785055250000001, -0.0051610451, 0.33598738910000003, 0.1911777258, -0.0651484579, -0.0242088679, 0.6453431845000001, -0.0435656607, -0.3357278407, -0.0546330027, 0.1876349002, 0.3087169826, 0.4950681925, -0.040417976700000004, 0.1892547458, 0.27237856390000004, 0.3871439695, -0.1963026524, 0.1128804162, 0.5135062933, 0.5209047794, 0.7036302686, 0.4447768033, -0.0224918388, -0.023466425000000003, -0.1789024472, -0.19595821200000002, 0.15699656310000001, -0.09418229010000001, -0.0357008874, 0.18443402650000001, -0.4191505909, 0.0635812059, 0.1062631384, 0.5653752685, 0.0609862953]"
7,"[0.181303978, -0.046796307, 0.4156351388, 0.3322709501, -0.22515779730000002, -0.015407256800000001, 0.7140357494, -0.5266132355, -0.29607874160000003, 0.4205163717, 0.007835865000000001, -0.658516407, -0.1261381805, -0.6218802333, 0.2265759856, 0.5710711479, -0.0042325184, -0.0494740345, 0.23416253920000002, -0.1283864975, 0.1782298088, -0.14695635440000002, -0.210771054, -0.042865052800000004, -0.06541383270000001, -0.0624135174, 0.2074363083, -0.0574554503, 0.3948507309, -0.2074405551, -0.10293123130000001, 0.5111817718, 0.1023359597, 0.0789064094, -0.0780187175, -0.0406306908, -0.1648634672, -0.3300986886, 0.0800597817, -0.0061256178, 0.2534734011, -0.1631449908, 0.7488709092, -0.0653427243, 0.0433838293, -0.30719181900000003, -0.28329706190000004, -0.49263298510000003, 0.0628437102, -0.1595011801, 0.13309532400000001, 0.182423979, -0.035726517400000005, -0.4572019577, 0.6604552865000001, -0.20763996240000002, -0.2354491055, -0.48053357010000003, 0.1453340203, -0.3424031138, -0.3761384189, -0.08968970180000001, -0.3087697625, 0.1598786861, 0.5408275127000001, -0.2389650345, 0.29206568, 0.037165422000000004, 0.2800605893, -0.2208482176, 0.1506115794, -0.2481666505, 0.1675226688, -0.1635079533, 0.1264012605, -0.0032416743, 0.34727472070000004, 0.039114933500000004, -0.24034230410000001, 0.2859373987, -0.0998838097, -0.1753678024, -0.1525906026, 0.131958127, -0.065482609, 0.0605002418, 0.1723562032, 0.0512640178, -0.2925917208, -0.2464035749, 0.1686217785, -0.43305248020000003, 0.047222938400000004, 0.0595161133, 0.3719401658, 0.1125184521, -0.2402005941, -0.1188816577, 0.6125315428, 0.1040649563, -0.09195949140000001, -0.08616566660000001, 0.014735948300000001, 0.3835626841, 0.46271973850000003, -0.016474925, 0.1396575719, 0.21775813400000002, 0.40092071890000003, -0.4534614086, 0.0818629637, 0.6846824884, 0.43864768740000004, 0.645658195, 0.4036536217, -0.1320622414, 0.19475609060000001, -0.0108150356, -0.0446382761, 0.1866212636, -0.044589363, -0.0111001395, 0.0761230588, -0.3441241682, 0.0533385277, -0.2546398342, 0.596370101, -0.1048751324]"
8,"[-0.0568886809, -0.20048478250000001, 0.2820044756, -0.0572222993, 0.1855388135, 0.17801488940000001, 0.306435734, -0.32153049110000004, -0.0906761959, 0.100193955, -0.2288845032, -0.1423275173, -0.0001881719, -0.177318722, 0.2870943546, 0.3657602072, -0.0139048565, -0.059307001500000005, 0.2056794018, -0.0919556618, 0.1929158121, -0.12322953340000001, -0.10457758610000001, 0.0071703326, -0.0568278581, -0.2780152261, 0.03087065, 0.0293165334, -0.1337259263, -0.2394392937, 0.2469366938, 0.18974065780000002, 0.3578087091, 0.0014263289, -0.086791113, 0.1410746872, 0.018137749300000002, 0.048216071000000006, -0.0056490805000000005, 0.0368412882, 0.2550944388, -0.12194038930000001, 0.2664321065, -0.028117191000000003, 0.2235677093, -0.0672168955, -0.4503755271, -0.4648834169, 0.0838151649, -0.0281306319, -0.1883446872, -0.09513463820000001, 0.2481322289, -0.07534803450000001, 0.4142352939, -0.2813614011, 0.0124416221, -0.2041514963, -0.1333734989, -0.075724557, -0.0900371969, 0.033947527400000004, -0.1240966842, 0.105018571, 0.6388269067, 0.0017736657, 0.0402735062, 0.1888226569, 0.2448063493, 0.17744022610000001, 0.1216624156, -0.2392765135, 0.1198627502, 0.0329446271, 0.0523119457, -0.0111357151, 0.26215595010000003, -0.0487241894, -0.18222036960000002, 0.0549994372, -0.10372520980000001, -0.2244246453, -0.21833994980000002, -0.0322579443, 0.20171360670000002, -0.09999014440000001, 0.0318657756, -0.20703828330000001, -0.09380242970000001, -0.11813892420000001, 0.0227711126, -0.2697203159, -0.3567021489, -0.10728403930000001, 0.13758650420000001, 0.038449246400000005, -0.041970092800000004, -0.0053281151, 0.3032900989, -0.3858820498, -0.1716014743, 0.0341269895, 0.0984453931, 0.4571761191, 0.4607425332, 0.19594874980000002, 0.011895859600000001, 0.2819733024, 0.2221632898, -0.18391278390000002, -0.1620502323, 0.6092867255000001, -0.0275913887, 0.3521964848, 0.2184587717, 0.0021506287, -0.1788382977, 0.1301944703, -0.0346873812, 0.2662346959, -0.1376583129, 0.3017265201, 0.0726695061, -0.2651990354, -0.0813992321, 0.09023559090000001, 0.2164128125, -0.0740744621]"
9,"[-0.0502429157, -0.1044268757, 0.6035169959000001, 0.0812018514, -0.0126028731, 0.08880192790000001, 0.5971187353, -0.1166564375, -0.1833183914, 0.6400724053, -0.3660125434, -0.5234837532000001, -0.0078744385, -0.5314182043, 0.051580485, 0.7152160406, 0.1321000606, 0.2412028313, 0.36227691170000004, -0.1563494205, 0.0203735195, -0.21726255120000001, -0.2840046287, -0.0523012169, 0.1897113919, -0.4706521034, 0.2967400253, -0.0937096849, 0.3297518492, -0.2316324115, -0.0756186247, 0.4392567873, 0.1980631649, 0.0702012628, 0.0597082451, 0.1252521574, -0.2170197517, -0.1500109732, 0.10655996200000001, -0.0305054765, 0.0532917455, -0.0592671223, 0.7248347998, -0.0480079204, 0.1754540652, -0.2751258612, -0.2786264718, -0.6828275323, 0.1218059063, 0.038058307, 0.0019480959, 0.1623956263, -0.1279431581, -0.29148066040000004, 0.6501314044000001, -0.1839877665, -0.2153197825, -0.3344961703, 0.0671090186, -0.2956468463, -0.2212771922, -0.1385022104, -0.2200952917, -0.053334064800000004, 0.6477335691, 0.0100751817, 0.1296370775, -0.06756115700000001, 0.07633432750000001, 0.0457842797, 0.1076706126, -0.2090642154, -0.0060199648, -0.1649099439, -0.1760759056, 0.1394907087, 0.4325597882, -0.2788349688, -0.30609992150000004, -0.031891387, -0.1422081292, -0.47667810320000004, -0.2604396641, 0.1195756644, 0.1245840341, -0.0642657429, 0.40727192160000003, -0.121067591, -0.3065187931, -0.21785643700000001, 0.1136487275, -0.23728364710000002, -0.1450393349, 0.0196152627, 0.19110077620000002, -0.0971445739, 0.1524353772, -0.35696274040000003, 0.6108950973, -0.0010008663, -0.32297727470000004, -0.0076464307, 0.2598826885, 0.4096484482, 0.5043172836, 0.1753396392, 0.3013417423, 0.408474952, 0.307166934, -0.35450851920000004, 0.13640184700000002, 0.7194339633, 0.3153987527, 0.7868600488, 0.1337725818, 0.0079930741, -0.1491460204, -0.024995798200000002, 0.0054631522, 0.1685055047, -0.1108917296, -0.0462248176, 0.014536442200000001, -0.4682276845, 0.1583993733, -0.10463839770000001, 0.4694572091, 0.0380541719]"
